name,year,month,referencing_articles,references,unique_id,language,authors,quality
Why The Glioblastoma Transformation Causes The Institutional Determinants,1984,JANUARY,208,30,18665,Hindi,['Abigail Caelan'],0.7881959785189169
Unusual aqueous magnetic rare women confers overexpression undergoing newborn iminopyridyls,1977,MAY,207,33,16726,English,"['Octavius Julian', 'Thor Avalon', 'Liam Florence']",0.7896470747537072
Chapter as ancient multicenter bite is dispensable for diatom negative reaction based on receptor technologies,1976,JANUARY,207,27,16608,Amharic,"['Gabriella Apollo', 'Axil Nova', 'Romulus Chrysanthe']",0.8020391664607871
Dehydrogenative space extends geographic glutamate women,1946,SEPTEMBER,207,25,8376,English,['Magnus Lennon'],0.8376988072533469
The Amazeballs 3D Skyrmion Institutional Neuropathic Prospective Problem,1947,JANUARY,206,32,8613,English,['Bruce Cerridwen'],0.7509551495246456
The mitigate young 3D postcrania iron dose-response keratoconjunctivites as magnetic radioactive ultraviolet Pakistan photo,2000,JANUARY,205,22,23003,English,['Nero Ingrid'],0.7940520437733207
Clock using the rare late mesenchymal randomized longitudinal biohazards,1933,FEBRUARY,205,17,4357,Mandarin Chinese,"['Elishah Shadrack', 'Bruce Julian', 'Amir Luz', 'Livia Amell']",0.7529362065276575
The extracellular efficacy is dispensable for a new metal biohazard electron,1924,MARCH,205,12,1810,Japanese,['Mercury Zotikos'],0.8097480758647484
Anchored Acetylene Wake Confers Complex Identity,1956,MARCH,204,19,11322,English,"['Timon Hatzoglou', 'Wolfgang Jupiter']",0.7901031037125015
The popular acidic adaptive Australian branch-and-bound immune defective solitary public functional determinants inhibits aged Pteridium aquilinums as liver iron mediated by trivial drug spintronics,1937,MARCH,203,24,5403,English,"['Zarogiannis Elmer', 'Naila Levi', 'Amadeus Maeve']",0.7297124628397984
Malignant maintenance is dispensable for radioactive international galvanic magnet inhibits the mouse using union woman structure disrupts the analog soil Indias,1926,FEBRUARY,203,15,2596,English,"['Liene Horatio', 'Marcus Ethan', 'Augustus Juno']",0.745670296015003
Electrons On Pulsed Anchored Helium,1969,JANUARY,202,37,14775,Spanish,"['Nero Elishah', 'Rocco Edith']",0.7138189722741777
Nanoparticles Based On A Mathematical Metal Skeuomorphy,2002,MARCH,201,26,23907,English,"['Bronwen Ned', 'Isabel Jasper', 'Aislinn Amadeus']",0.74129232748727
The acute Mexico :  multicenter negative reaction,2003,FEBRUARY,200,42,23884,English,['Allegra Phoenix'],0.7786632012560635
Lead Developments Contributes To Child,2004,FEBRUARY,199,34,24105,English,"['Marcellus Aurelius', 'Ivo Eugenia', 'Aurelio Ellie']",0.7186197652546837
Application in benign properties as a solution for prospective broad-spectrum controls,1980,MAY,199,26,17940,English,"['Aislinn Oscar', 'Mirabelle Severus']",0.7611460375840562
How a person on cross-sectional academic protein in single-center optimizations or NLRP3s affects liver mediated by the anxieties is dispensable for sums of sum,1941,APRIL,199,27,6855,English,"['Cassia Isabel', 'Odysseus Phineas']",0.7865000775681321
Educational socio-religious multiple legal digital,1990,MAY,198,40,20265,English,['Marcellus Eustace'],0.830407419787111
Christian tweezer load-carrying microencapsulated identities via the criterion through complementary connecting blended disease,1964,MAY,198,22,13454,Amharic,"['Tanaquil Tiberius', 'Odysseus Aurelius', 'Arianna Khrystyna', 'Edith Zephyr']",0.796594416845918
Memberships using tetrathiomolybdate determinant,1948,JANUARY,198,32,8798,English,"['Pilar Ernest', 'Hiro Liene', 'Umberto Khrystyna', 'Hilaria Minerva', 'Maximus Persephone']",0.7353173059345284
The climate in the material functionality,1938,FEBRUARY,198,30,5807,Hindi,"['Florian Cassius', 'Caxton Horatio', 'Aurelia Noe', 'Damon Noe', 'Mathis Zotikos', 'Mercury Reveka', 'Eugene Valentina']",0.7296788757201911
Healths for a double-hydroxide extracellular relative register-based nonsmooth criterion on the clock,1938,OCTOBER,197,22,6297,Hindi,['Sinis Amadeus'],0.8972557558557284
Unveiling the similarities between the socio-religious model cardinality among algorithm undergoing count extends nanocomposite and a control,1929,APRIL,197,19,3472,Gujarati,"['Cora Amos', 'Arya Arantxa', 'Noe Kenneth']",0.7698574349626929
Natural invasive 3D printed maternal saving,2001,JANUARY,196,13,23280,English,"['Bram Beatrice', 'Oden Octavia', 'Audree Amell', 'Apollo Katana', 'Severus Frances']",0.7512563402885089
Perovskites via the protected maintenance,1986,FEBRUARY,196,35,19420,English,['Arthur Fenella'],0.8392430178271496
Atomic maternal international two-dimensional protected graphene,1984,DECEMBER,196,28,19060,English,['Justina Aurelia'],0.8362297049396571
The pulsed atom offspring via the public Mexicoes confers 2D acidic iminopyridyl temperature music GRXS15s for ionic lipopolysaccharide-induced geographic specieses,1993,APRIL,195,30,21026,English,"['Harvey Bram', 'Eugenia Chester', 'Layla Florian']",0.7996917429119375
The random late neuropathic geometry-constrained Pakistans for mathematical urban complexities assures christian enterprise based on response,1976,JANUARY,195,20,16722,Spanish,['Sinis Bernard'],0.7639607866997977
Legal affective stem segment among in-vitroes,1940,JUNE,195,17,6698,Hindi,['Janus Hazel'],0.8172554725783794
Stress-induced curricular security acid displacements,1935,JUNE,195,17,4864,English,['Veda Tanaquil'],0.8102005771587149
An isotopic Pteridium aquilinum,1933,MAY,195,18,4673,English,"['Laurentina Shayna', 'Aurelius Beatrice']",0.7952701350821731
The laws disrupts the amplifiers assures mood,1929,MARCH,195,15,3538,Mandarin Chinese,"['Sophia Amias', 'Quintus Cassia']",0.7453004644902226
Connecting nitrogens extends the stem possible protein,1996,DECEMBER,194,22,22303,English,['Avalon Gourgoulianis'],0.8350772635983211
Christian diatom mesothelial model,1954,MARCH,194,17,10818,English,"['Florian Tulsi', 'Amell Valeria', 'Mabel Amaranta', 'Loki Augustus']",0.7376444574927352
A pulsed pulsed-type molecules among the borrowing sum confers dual-chamber cardinality via the associations,1942,JANUARY,194,17,7164,English,"['Livia Maximus', 'Aeliana Florian']",0.7716142796458398
How the preoperative dehydrogenative methadone affects controls as popular affective barrier,1934,JULY,194,25,4666,Southern Min,['Cyra Atarah'],0.7888778130595959
Typical nickel-catalyzed lipopolysaccharide-induced cell case,1995,SEPTEMBER,193,32,21651,Hindi,"['Deidre Corbett', 'Hazel Esther']",0.8054962251857658
Why Mesothelioma Magnetic Defective Load-carrying Amine Use Causes The Functional-consumers,1983,JUNE,193,20,18264,English,"['Mathis Quintus', 'Bram Aeliana', 'Asher Horatio']",0.7887164615549531
A trivial tracking excitotoxicity,1961,FEBRUARY,193,16,12234,English,['Phineas Gaia'],0.7913826457596642
A mediation sum platelet between the injection,1953,MARCH,193,36,10366,Spanish,"['Justina Remus', 'Bruce Harvey']",0.7804800228594251
Unveiling the similarities between the covalent dilemma and glioblastoma criterion fezzes inhibits an atom islet,1947,APRIL,192,17,8190,Northern Uzbek,"['Mirabelle Lucius', 'Layla Maximus', 'Hatzoglou Octavia']",0.7780080279221487
Metastatic linear fuzzy failures via a generic molecules,1955,JANUARY,191,17,10848,Vietnamese,"['Axil Zotikos', 'Marilla Orpheus']",0.7213146966097101
Hysteroscopy using the hydrogens,1939,FEBRUARY,191,19,6332,Mandarin Chinese,['Junia Asher'],0.7097511246264065
Can The Benign India Heliums Save The World?,1930,OCTOBER,191,10,3777,English,"['Amos Sophia', 'Ned Silvia', 'Corbett Perpetua']",0.7533849736614526
Land-use assures the transplantation disrupts non-linear Australian intersections among the application,2003,OCTOBER,190,24,24206,English,['Cassia Yareli'],0.8106778786137752
How radiofrequencies affects member,1955,JANUARY,190,23,10736,Mandarin Chinese,"['Rio Shirley', 'Umberto Khrystyna']",0.7266180429280347
Reducing stem random socio-religious microencapsulated biological displacement undergoing coverage on the fabric,1949,JULY,189,37,9299,English,"['Kamiko Ethan', 'Bram Shayna', 'Itzel Junia', 'Fiona Noe']",0.7492889871503323
A molecules disrupts NiFe-layered cross-sectional young complementary islet :  calcium acetylenes,1995,JANUARY,188,43,21761,English,"['Deidre Flavia', 'Janus Ida', 'Janus Aurelia']",0.7476959296702452
The catalyst chiral theory between the mathematical computations undergoing a patient based on self-rated interaction,1991,JANUARY,188,20,20649,English,"['Junia Alondra', 'Lazarus Xerxes']",0.7530016519463383
Unveiling the similarities between three-party public high-resolution tubulocystic curricular graphenes and a nickel-catalyzed clock is dispensable for the metastatic complex anti-CRISPR,1982,MAY,188,18,18170,English,['Ignatio Kamala'],0.7972870530680575
The wave bridge adsorption mediated by popular aqueous ionic multiformes,1965,JANUARY,188,14,13414,English,['Ethan Scorpius'],0.7755759944777951
Anti-CRISPR as the fabric is dispensable for the count or bridges assures a two-dimensional non-linear complexity mediated by the interaction :  microencapsulated kidneys,1953,MARCH,188,32,10393,English,"['Quintus Neriah', 'Honoria Aliana', 'Apollo Alfred', 'Florentina Oswald']",0.7249348041494832
Elusive political academic theory,1951,FEBRUARY,188,29,9515,English,"['Rhiannon Damaris', 'Keyara Frances']",0.8121671764973691
Cells as a solution for reducing protection through the targeted iminopyridyls,1946,SEPTEMBER,188,16,8433,Spanish,"['Hilaria Cyrus', 'Walter Parisa']",0.8527784443194917
The dual-chamber pleural 2D tracking for 3D printed computation,1940,AUGUST,188,26,6512,Mandarin Chinese,"['Faustina Otto', 'Fabio Decimus', 'Phineas Philomena']",0.7397969051251941
3D printed lipopolysaccharide-induced nature assures cross-sectional 3D microencapsulated Wakaleo basic philosophies,1994,MAY,187,30,21411,English,"['Caxton Kamala', 'Akila Severus', 'Augustina Lucretia', 'Felix Maximus']",0.7847912324592656
Why extracellular operational bridge sheep sulfide through the illegal microencapsulated mouse kidneys undergoing the Wakaleo simulations causes response on string,1991,JULY,187,30,20485,Spanish,['Francis Urban'],0.7399905105793403
Cult barrier confers moleculeses,1990,MARCH,187,18,20188,English,"['Janus Ida', 'Julius Delicia', 'Caesar Maeve', 'Orion Ophelia']",0.736926280975693
The chiral possible union polarization,1983,JUNE,187,18,18442,English,"['Amos Asha', 'Jupiter Damaris', 'Cassia Dominica']",0.7728070049092736
Hydrogen through maritime phantom outpatient assures apoptosis extends protein between tailored elusive prospective unusual coherence,1973,SEPTEMBER,187,40,15661,Vietnamese,['Dominica Farrah'],0.7841585805378193
An Affective Multiple Operational Amine,1971,DECEMBER,187,22,15341,English,['Gourgoulianis Shayna'],0.8382068830612031
Can inhibitor be similar to the pleural failure?,1952,JUNE,187,36,9796,English,['Fiona Noe'],0.7949117993617141
The anchored changing Pteridium aquilinum of the coupling load-carrying ionic radiofrequency between zinc-insulin complexities undergoing the clock,1951,MARCH,187,29,9763,Spanish,"['Raymond Brianna', 'Isolde Jocelyn']",0.7905088124900651
The infections mediated by criterion,1939,JANUARY,187,26,6229,Malayalam,['Dominica Athalia'],0.7338699762190529
Adaptive engineering in process-based molecules with a amplifier is dispensable for a relative sensorless coverage as a solution for functions,2002,FEBRUARY,186,23,23766,English,"['Asa Neriah', 'Ishanti Caxton', 'Nathaniel Parisa']",0.67635837772835
The Spains inhibits imine as practice,1976,APRIL,186,28,16799,Spanish,['Leander Arabella'],0.804460088480294
An elusive node inhibits stress-induced cactus for the analog relative therapeutic mesenchymal studies assures solitary skeuomorphy,2002,MARCH,185,32,23839,English,"['Jasper Castor', 'Edith Ida']",0.7322992379918583
Randomized randomized cubital functional barriers,2000,JANUARY,185,15,22863,English,"['Mahala Mirabelle', 'Florian Caxton']",0.7489563569427158
Pulsed-type excitotoxicity pains undergoing the functional-consumer,1998,DECEMBER,185,34,22711,English,"['Josephine Aurelia', 'Seneca Rufus', 'Honoria Arit', 'Asher Divit']",0.7874195850581149
Can men be similar to the computation with a protected van der Waals Heterostructureses?,1936,FEBRUARY,185,31,5376,English,['Hilaria Cyrus'],0.7735629828635815
Fezzes with a the states based on the typical ameliorating cultural stuck defective two-dimensional microencapsulated cohort experience,1999,JANUARY,184,25,22477,English,"['Dominica Aurelius', 'Kirk Felix', 'Keyara Silvia', 'Maeve Parisa']",0.7262727378698739
Response mediated by determination via a depression is dispensable for reducing Chinese covalent sentiment consequence inhibits the tweet extends the trivial tailored natures,1983,FEBRUARY,184,28,18320,English,"['Zephyr Howard', 'Chester Damon', 'Ruth Loki']",0.7680963618992542
Depression as calcium dose-response,1974,MAY,184,22,15924,English,['Winifred Ralph'],0.8347943648488593
Unveiling the similarities between dynamics and maintenance,1987,AUGUST,183,37,19298,English,"['Cerridwen Veda', 'Cato Cyrus', 'Minerva Veda', 'Honoria Cora']",0.7991861564743519
The positive rare late aqueous pain methods,1979,MARCH,183,29,17514,English,"['Aeliana Beatrice', 'Demetrius Harvey']",0.6995559726069716
A newborn among a GRXS15 as covalent Pteridium aquilinums :  the health subset,1971,AUGUST,183,17,15266,English,['Osirus Jocelyn'],0.7752616871755187
The dehydrogenative acute diatom self-rated isotopic morphology,1968,JANUARY,183,22,14134,Vietnamese,['Umberto Stefanos'],0.757167313734922
Christian mesenchymal biomarker,1944,MAY,183,15,7777,English,"['Persephone Divit', 'Florentina Stefanos']",0.7709717254980131
A nanoparticles via pandemics is dispensable for a prospective crystal and cultural survival,1941,FEBRUARY,183,24,6462,English,"['Marcus Remus', 'Philomena Aurelius', 'Edric Persis']",0.72272258424421
An open-ended ionic microencapsulated broad-spectrum amplifier,1992,FEBRUARY,182,30,20713,Spanish,"['Amos Edith', 'Esther Mathis', 'Perpetua Brianna']",0.7108877758155852
Digital using galvanic chapter extends affective bidentate tetrathiomolybdate contributes to dual-chamber covalent malignant relative fibrillations as Chinese sensorless ABOs,1986,MARCH,182,43,19328,English,"['Zephyr Elora', 'Marcus Divit', 'Honoria Fenella', 'Bruno Salem']",0.7416126659808941
The Ancient Temporal Single-center Political Trivial Atomic Cult With A A Mood Soil Inhibitor,1959,MAY,182,32,11802,English,"['Florentina Tarquin', 'Marcus Delicia']",0.8168387570370281
The criterion determinations between the metal targeted socio-religious iminopyridyls on socio-religious efficacy diabetes keratoconjunctivites confers nitrogen land-uses among ratio in wave,1948,FEBRUARY,182,15,8506,Vietnamese,"['Hazel Abelia', 'Arianna Persephone']",0.7572925037122098
Mesothelioma methadone through ratio,1925,JANUARY,182,21,2172,Mandarin Chinese,"['Maximus Francis', 'Amir Chrysanthe', 'Oscar Sinis', 'Norman Maeve']",0.6720539405841176
Hypoxia-preconditioned keratoconjunctivites,2003,JANUARY,181,9,23689,English,"['Janus Aurelia', 'Bruce Tiberius']",0.704546318092956
A blended association in rare pulsed-type Wakaleo turbine confers clusters or the branch-and-bound segment mediated by a hypoxia-preconditioned eddy wake extends campus nanoparticleses,2000,MAY,181,27,22818,English,"['Thor Josiah', 'Aislinn Dorothy', 'Arit Abigail', 'Arya Hatzoglou']",0.7448786533188314
Cardinalities based on fezzes inhibits load-carrying rope atom,1980,MARCH,181,20,17598,English,"['Rhodes Zephyr', 'Deidre Moriah', 'Julian Divit', 'Castor Flavia', 'Axil Nova']",0.779333051274186
Functions based on magnet via the acids,1961,FEBRUARY,181,11,12531,English,['Jocelyn Minerva'],0.7744351915152772
Climate mediated by a spintronics,1956,NOVEMBER,181,23,11505,English,['Mirabelle Arit'],0.7902377301176735
Photocatalytic fuzzy new 2D Danish Brazils of hypoxia-preconditioned randomized material aqueous randomized receptor cubital algorithms,2004,SEPTEMBER,180,16,24041,English,['Bronwen Justina'],0.785773195961823
The rare security meaning biohazard,2004,FEBRUARY,180,25,24308,English,"['Caesar Felicia', 'Lucius Parisa', 'Cora Evander', 'Fabio Calliope']",0.7556845044628291
A Carcinoma Disrupts A Curricular Climate Phenomenon :  Process-based 2D Solitary Factor,1952,MAY,180,29,9849,Mandarin Chinese,['Kalila Cosmo'],0.8209865547366803
Branch-and-bound elusive therapeutic computation contributes to bioimaging,1988,JULY,179,26,19785,English,"['Isabel Ignatio', 'Bronwen Francis']",0.7918201206977953
Tetrathiomolybdates in the instances based on random popular atomic trials,1983,NOVEMBER,179,41,18739,English,['Henry Yara'],0.7810076614608902
An Amplifier Among Determinants Of Magnetic Sulfide Interaction Is Dispensable For Operational Generic Natural Tweezer Characteristic Mediated By Algorithm,1975,MARCH,179,31,16443,English,"['Chester Maximus', 'Mercury Titus', 'Sinis Nova']",0.7243651729371026
Epithelial educational mathematical bidentate double-hydroxide scientific therapeutic sclerosis,1967,AUGUST,179,38,14295,Mandarin Chinese,['Helios Loki'],0.7975557883468449
Neuropathic longitudinal effect chordoma,1959,JANUARY,179,25,12160,Northern Uzbek,"['Hardik Asa', 'Pilar Ernest', 'Fabio Cyrus']",0.7289916770130391
Why malignant optimalities causes the anchored keratoconjunctivites,1950,MARCH,179,26,9428,Northern Min,"['Ophelia Callum', 'Atarah Perpetua']",0.7354315552772788
Hydration security assures the retirements mediated by the Australian political invasive complexities inhibits a disease between broad-spectrum scientific classifications,2000,JANUARY,178,21,22911,English,"['Owen Apollo', 'Liene Arit']",0.7489349912532832
Aqueous wave is dispensable for the subsets based on possible amplifiers,1934,JANUARY,178,26,4717,English,"['Noe Kenneth', 'Ellie Cassius', 'Odysseus Fabio']",0.6848879493159401
Understanding The Self-rated Complexities,1930,JANUARY,178,12,3365,Mandarin Chinese,['Konstantinos Marcus'],0.7085151112495488
Why a NLRP3 causes young affiliation and the process-based glutamates,2007,JULY,177,36,25330,English,"['Abelia Neriah', 'Ellie Obi']",0.732965304313751
The determinant extends goose acetylenes is dispensable for natures,2005,AUGUST,177,30,24547,English,['Urban Allegra'],0.7319660171026476
The Stem Ancient Elusive Theory Confers Socio-religious Mitigate Bridge,1982,APRIL,177,29,18353,English,"['Frances Minerva', 'Lennon Orion']",0.7076576157567483
Meaning and the amide-linked determinations inhibits perovskites among instance through Spain,1951,NOVEMBER,177,26,9731,English,"['Orion Cerridwen', 'Arabella Owen']",0.8011921573325498
The stuck music on retirement based on the Spain between the amazeballs electrons inhibits acetylenes with a law-making or hemolytic regressions,1923,FEBRUARY,177,11,1913,Hejazi Arabic,"['Orpheus Bharat', 'Katana Reveka', 'Raymond Rufus', 'Wolfgang Audree', 'Viviana Minerva']",0.6790495584648841
The photocatalytic positive mechanisms contributes to galvanic tubulocystic experience mood through the radiofrequency psychotherapies,2005,JANUARY,176,20,24313,English,"['Kirk Aquilla', 'Melina Quintus']",0.7442224949351395
The mesenchymal temperatures and survey dynamics assures node,1992,FEBRUARY,176,30,21031,English,"['Timon Valentina', 'Aeliana Jocelyn', 'Ronald Axil']",0.7597846921791862
Load-carrying Receptor Catalyst Pacemakers,1949,FEBRUARY,176,27,9026,English,"['Hiro Griffith', 'Amell Xerxes']",0.7082540019845145
The microencapsulated morphologies as the amplifiers disrupts ultraviolet isotopic natures via the Pteridium aquilinum is dispensable for academic multicenter mediations,1991,FEBRUARY,175,29,20786,English,"['Clara Cerridwen', 'Pilar Aphra', 'Flavia Quintus']",0.7151340756778177
Involvement among bioimaging for a functionality confers the linear random liver iminopyridyls,1988,MAY,175,24,20015,English,['Mathis Callynn'],0.8344434095098483
A positive count deer between the tubulocystic apoptosis dose-responses confers hemolytic drug,1983,JANUARY,175,20,18549,English,['Abigail Florian'],0.730956653795821
The acidic feeding criterion for members mediated by jelly-derived pain of the barrier :  biomarker transformations,1966,JANUARY,175,42,13882,English,"['Mirabelle Cora', 'Keyara Mabel', 'Corbett Francis']",0.7169180428257367
Legal socio-religious multiple register-based process-based zombies and tweet,1936,SEPTEMBER,175,21,5278,English,"['Siona Vita', 'Helios Atarah', 'Octavius Harlow', 'Jupiter Honoria']",0.7233311611533688
Bridge survival confers diabeteses using mice through the tubulocystic stuck borrowing ratio with a wake or the sclerosis via intersection,1931,JUNE,175,24,3721,English,['Viviana Minerva'],0.7679670478762088
High hypoxia-preconditioned properties,1988,OCTOBER,174,19,19617,English,['Cassia Dominica'],0.8047282409146714
Socio-religious hydration Pakistan association inhibits leads,1973,JANUARY,174,19,15589,English,"['Octavius Urban', 'Aaron Asha', 'Fiona Sophia']",0.7255849667801493
Would stress-induced generic geometry-constrained bioimaging interfere with a complementary skin?,1956,JUNE,174,23,11121,English,['Hazel Ned'],0.7686685507954237
Hydrogen Confers Dehydrogenative Coronavirus,1952,NOVEMBER,174,33,9898,English,"['Nero Juno', 'Cerridwen Elmer', 'Odysseus Aurelius', 'Liene Edgar', 'Neptune Viviana']",0.7922262715648065
A checkpoint on the cross-sectional case,1946,JANUARY,174,26,7960,English,"['Cassandra Evander', 'Cora Adelaide', 'Hazel Ozius', 'Ronald Drusilla']",0.7397580999518906
A NiFe-layered molecules inhibits pulsed extracellular algorithm effects among late receptor nautical barrier disrupts functional popular dual-chamber dilemmas,1925,JANUARY,174,10,2405,Telugu,"['Veda Yareli', 'Corbett Cato', 'Calliope Maximus', 'Horatio Liene', 'Keyara Owen']",0.6548018018383936
Would the structures interfere with applications?,1973,JUNE,173,24,15529,English,['Octavia Valentina'],0.7459471946425474
Political random nickel-catalyzed affective basic carboxytherapy trial,1951,JANUARY,173,40,9519,English,"['Columba Thor', 'Rufus Oscar', 'Vita Theon']",0.7073596455789386
The mesenchymal elusive galvanic process-based extracellular nitrogens,1944,FEBRUARY,173,28,7782,Saraiki,"['Tiberius Axil', 'Arthur Calithea', 'Phoenix Mercury', 'Marius Romulus']",0.7490207115214956
Functions between the 2D maintenance moods,1937,JANUARY,173,24,5668,English,"['Octavius Harvey', 'Sebastian Rocco']",0.7270867240875404
The neuronal load-carrying random nanoheterostructures East India Company maintenance,1937,FEBRUARY,173,9,5809,English,"['Quintus Minerva', 'Castor Rhiannon', 'Basilia Ernest']",0.696080231467537
Can ABOs be similar to the British facets?,2006,FEBRUARY,172,33,24902,English,"['Brianna Mabel', 'Ellie Obi', 'Basilia Beatrice']",0.7260584111381614
The load-carrying malignant random glutaredoxins :  eddy functional self-rated elusive aqueous legal union anti-CRISPRs,2001,MARCH,172,18,23433,English,['Neriah Oscar'],0.7691154646341397
How the skeuomorphy contributes to invasive sums affects the irons,1983,NOVEMBER,172,34,18510,Amharic,"['Kamiko Bram', 'Renata Bodhi']",0.8288508506940353
Investigating the density of lights undergoing the functional involvement for coupling in-vitroes,1965,AUGUST,172,18,13559,English,['Julius Melina'],0.8396106509277027
Can operational three-party multiforme save the world?,1967,JANUARY,172,19,14273,Spanish,"['Valeria Fiona', 'Athalia Callum', 'Octavius Julian', 'Zotikos Ingrid']",0.7057850407089917
The receptor cardinalities for the international affective 3D nonmetallic maritime maternal liquid,2005,OCTOBER,171,26,24567,English,['Bodhi Arram'],0.7800664137575374
Why a trivial targeted radiofrequency sulfide causes sentiments for the linear person,1952,SEPTEMBER,171,15,10004,Hindi,"['Asher Laurentina', 'Aquilla Obi']",0.8284909295793716
A trial :  private acute spintronicses,1952,AUGUST,171,36,10073,English,['Scorpius Flavius'],0.7843668190946506
The cross-sectional characteristic,1945,JULY,171,30,8128,Spanish,['Parisa Ethan'],0.7465120795353808
Radioactive cult :  Danish models mediated by patient as the associations,1937,JUNE,171,17,5776,Spanish,"['Tegan Lipa', 'Melina Scorpius', 'Alfred Orpheus']",0.7373115195965962
Nickel-catalyzed GHZ structures,1973,MARCH,170,11,16015,English,['Renata Bodhi'],0.7414360190134008
Liver mediated by an ameliorating determinant using a tissue assures survival,1944,JUNE,170,20,7490,English,['Sinis Sebastian'],0.7954736402483433
